2022-02-06 11:50:20,233 | INFO     | home() app.py line=389 thread=2904552512 | cached_plots: {'2022': '2022-02-06_home-plotly-cache.pkl', '2021': '2021-12-31_home-plotly-cache.pkl'}
2022-02-06 11:50:20,233 | INFO     | home() app.py line=389 thread=2904552512 | cached_plots: {'2022': '2022-02-06_home-plotly-cache.pkl', '2021': '2021-12-31_home-plotly-cache.pkl'}
2022-02-06 11:50:20,234 | INFO     | load_cached_plots() app.py line=354 thread=2904552512 | Loading cached plots '2021-12-31_home-plotly-cache.pkl'
2022-02-06 11:50:20,234 | INFO     | load_cached_plots() app.py line=354 thread=2904552512 | Loading cached plots '2021-12-31_home-plotly-cache.pkl'
2022-02-06 11:50:20,240 | INFO     | _log() _internal.py line=225 thread=2904552512 | 192.168.178.50 - - [06/Feb/2022 11:50:20] "GET /home/2021/ HTTP/1.1" 200 -
2022-02-06 11:50:20,240 | INFO     | _log() _internal.py line=225 thread=2904552512 | 192.168.178.50 - - [06/Feb/2022 11:50:20] "GET /home/2021/ HTTP/1.1" 200 -
2022-02-06 11:50:20,311 | INFO     | _log() _internal.py line=225 thread=2915038272 | 192.168.178.50 - - [06/Feb/2022 11:50:20] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2022-02-06 11:50:20,311 | INFO     | _log() _internal.py line=225 thread=2915038272 | 192.168.178.50 - - [06/Feb/2022 11:50:20] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2022-02-06 11:51:00,633 | INFO     | home() app.py line=389 thread=2915038272 | cached_plots: {'2021': '2021-12-31_home-plotly-cache.pkl'}
2022-02-06 11:51:00,633 | INFO     | home() app.py line=389 thread=2915038272 | cached_plots: {'2021': '2021-12-31_home-plotly-cache.pkl'}
2022-02-06 11:51:00,634 | INFO     | generate_fresh_plots() app.py line=345 thread=2915038272 | generating fresh plots for 2022
2022-02-06 11:51:00,634 | INFO     | generate_fresh_plots() app.py line=345 thread=2915038272 | generating fresh plots for 2022
2022-02-06 11:51:04,601 | INFO     | _log() _internal.py line=225 thread=2915038272 | 192.168.178.50 - - [06/Feb/2022 11:51:04] "GET /home/2022/ HTTP/1.1" 200 -
2022-02-06 11:51:04,601 | INFO     | _log() _internal.py line=225 thread=2915038272 | 192.168.178.50 - - [06/Feb/2022 11:51:04] "GET /home/2022/ HTTP/1.1" 200 -
2022-02-06 11:51:04,810 | INFO     | _log() _internal.py line=225 thread=2904552512 | 192.168.178.50 - - [06/Feb/2022 11:51:04] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2022-02-06 11:51:04,810 | INFO     | _log() _internal.py line=225 thread=2904552512 | 192.168.178.50 - - [06/Feb/2022 11:51:04] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2022-02-06 11:51:05,598 | INFO     | store_cached_plots() app.py line=360 thread=2840589376 | Storing cached plots to '2022-02-06_home-plotly-cache.pkl'
2022-02-06 11:51:05,598 | INFO     | store_cached_plots() app.py line=360 thread=2840589376 | Storing cached plots to '2022-02-06_home-plotly-cache.pkl'
